"52","DSPG","DSP Group, Inc.","http://www.nasdaq.com/symbol/dspg","Technology","Semiconductors"
"54","ACWX","iShares MSCI ACWI ex US Index Fund","http://www.nasdaq.com/symbol/acwx","n/a","n/a"
"55","TLMR","Talmer Bancorp, Inc.","http://www.nasdaq.com/symbol/tlmr","Finance","Major Banks"
"56","MATW","Matthews International Corporation","http://www.nasdaq.com/symbol/matw","Capital Goods","Metal Fabrications"
"57","PSTI","Pluristem Therapeutics, Inc.","http://www.nasdaq.com/symbol/psti","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"58","VIDI","Vident International Equity Fund","http://www.nasdaq.com/symbol/vidi","n/a","n/a"
"59","SPIL","Siliconware Precision Industries Company, Ltd.","http://www.nasdaq.com/symbol/spil","Technology","Semiconductors"
"61","ESLT","Elbit Systems Ltd.","http://www.nasdaq.com/symbol/eslt","Capital Goods","Military/Government/Technical"
"62","MBWM","Mercantile Bank Corporation","http://www.nasdaq.com/symbol/mbwm","Finance","Major Banks"
"63","JACK","Jack In The Box Inc.","http://www.nasdaq.com/symbol/jack","Consumer Services","Restaurants"
"65","BWLD","Buffalo Wild Wings, Inc.","http://www.nasdaq.com/symbol/bwld","Consumer Services","Restaurants"
"66","PSEC","Prospect Capital Corporation","http://www.nasdaq.com/symbol/psec","n/a","n/a"
"68","LEVY","Levy Acquisition Corp.","http://www.nasdaq.com/symbol/levy","Finance","Business Services"
"70","WRLD","World Acceptance Corporation","http://www.nasdaq.com/symbol/wrld","Finance","Finance: Consumer Services"
"72","AMZN","Amazon.com, Inc.","http://www.nasdaq.com/symbol/amzn","Consumer Services","Catalog/Specialty Distribution"
"73","WVFC","WVS Financial Corp.","http://www.nasdaq.com/symbol/wvfc","Finance","Banks"
"75","MNRK","Monarch Financial Holdings, Inc.","http://www.nasdaq.com/symbol/mnrk","Finance","Major Banks"
"76","EMCB","WisdomTree Emerging Markets Corporate Bond","http://www.nasdaq.com/symbol/emcb","n/a","n/a"
"77","CGNX","Cognex Corporation","http://www.nasdaq.com/symbol/cgnx","Capital Goods","Industrial Machinery/Components"
"78","HDS","HD Supply Holdings, Inc.","http://www.nasdaq.com/symbol/hds","Consumer Services","Office Equipment/Supplies/Services"
"79","ASRV","AmeriServ Financial Inc.","http://www.nasdaq.com/symbol/asrv","Finance","Major Banks"
"81","AIRT","Air T, Inc.","http://www.nasdaq.com/symbol/airt","Transportation","Air Freight/Delivery Services"
"82","PBIP","Prudential Bancorp, Inc.","http://www.nasdaq.com/symbol/pbip","Finance","Banks"
"83","MAR","Marriott International","http://www.nasdaq.com/symbol/mar","Consumer Services","Hotels/Resorts"
"84","OFIX","Orthofix International N.V.","http://www.nasdaq.com/symbol/ofix","Health Care","Medical/Dental Instruments"
"85","CTXS","Citrix Systems, Inc.","http://www.nasdaq.com/symbol/ctxs","Technology","Computer Software: Prepackaged Software"
"86","BBEP","BreitBurn Energy Partners, L.P.","http://www.nasdaq.com/symbol/bbep","Energy","Oil & Gas Production"
"87","OSUR","OraSure Technologies, Inc.","http://www.nasdaq.com/symbol/osur","Health Care","Medical/Dental Instruments"
"88","ARNA","Arena Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/arna","Health Care","Major Pharmaceuticals"
"89","TQQQ","ProShares UltraPro QQQ Fund","http://www.nasdaq.com/symbol/tqqq","n/a","n/a"
"90","CACC","Credit Acceptance Corporation","http://www.nasdaq.com/symbol/cacc","Finance","Finance: Consumer Services"
"91","OSBC","Old Second Bancorp, Inc.","http://www.nasdaq.com/symbol/osbc","Finance","Major Banks"
"92","ESIO","Electro Scientific Industries, Inc.","http://www.nasdaq.com/symbol/esio","Miscellaneous","Industrial Machinery/Components"
"93","ADSK","Autodesk, Inc.","http://www.nasdaq.com/symbol/adsk","Technology","Computer Software: Prepackaged Software"
"94","CA","CA Inc.","http://www.nasdaq.com/symbol/ca","Technology","Computer Software: Prepackaged Software"
"95","ATRM","ATRM Holdings, Inc.","http://www.nasdaq.com/symbol/atrm","Capital Goods","Electrical Products"
"96","CRUS","Cirrus Logic, Inc.","http://www.nasdaq.com/symbol/crus","Technology","Semiconductors"
"97","MBII","Marrone Bio Innovations, Inc.","http://www.nasdaq.com/symbol/mbii","Basic Industries","Agricultural Chemicals"
"98","CEMI","Chembio Diagnostics, Inc.","http://www.nasdaq.com/symbol/cemi","Health Care","Major Pharmaceuticals"
"99","GOOGL","Google Inc.","http://www.nasdaq.com/symbol/googl","Technology","Computer Software: Programming, Data Processing"
"100","YHOO","Yahoo! Inc.","http://www.nasdaq.com/symbol/yhoo","Technology","EDP Services"
